ts_code,name,classify,list_date,delist_date
AGI,,EQT,20061228,
AGIN,,EQT,20160602,
AGIO,,EQT,20130724,
AGLAF,,EQT,19600101,
AGLDF,,EQT,20171121,
AGLE,,EQT,20160407,
AGLNF,,EQT,20140113,
AGLT,,EQT,19950327,
AGLXY,,ADR,20100504,
AGLY,,EQT,20190611,
AGM,,EQT,19940103,
AGM.A,,EQT,19940127,
AGMH,,EQT,20180418,
AGMJF,,EQT,20140113,
AGMPRD,,EQT,20190509,
AGMPRE,,EQT,20200515,
AGNC,,EQT,20080513,
AGNCM,,EQT,20190228,
AGNCO,,EQT,20190930,
AGNCP,,EQT,20200205,
AGNPF,,EQT,20160311,
AGO,,EQT,20040420,
AGOAF,,EQT,20130219,
AGOPRE,,EQT,20191111,
AGPDF,,EQT,20140113,
AGPIF,,EQT,20140113,
AGPL,,EQT,20121129,
AGPPF,,EQT,20140113,
AGPYF,,EQT,20051205,
AGPYY,,ADR,20110807,
AGR,,EQT,20151217,
AGRDF,,EQT,20131223,
AGREF,,EQT,20140113,
AGRIP,,EQT,20171219,
AGRO,,EQT,20110128,
AGRPF,,EQT,20170609,
AGRPY,,ADR,20030718,
AGRS,,EQT,19890331,
AGRUF,,EQT,20120910,
AGRX,,EQT,20140523,
AGS,,EQT,20180126,
AGSM,,EQT,20070719,
AGSO,,EQT,20070820,
AGSVF,,EQT,20120328,
AGTAF,,EQT,20050127,
AGTC,,EQT,20140327,
AGTEF,,EQT,20140812,
AGTK,,EQT,19980514,
AGTT,,EQT,19840604,
AGTX,,EQT,20150821,
AGUNF,,EQT,20061228,
AGVYY,,GDR,20140512,
AGX,,EQT,19810925,
AGXKF,,EQT,20140113,
AGYP,,EQT,20020813,
AGYS,,EQT,19750102,
AGYTF,,EQT,20140113,
AGZNF,,EQT,20150108,
AHAD,,EQT,20161021,
AHAG,,EQT,19860307,
AHAHF,,EQT,20160602,
AHC,,EQT,20080122,
AHCD,,EQT,19990428,
AHCHF,,EQT,20140113,
AHCHY,安徽海螺,EQT,20081104,
AHCO,,EQT,20180524,
AHCP,,EQT,20120724,
AHELF,,EQT,20140113,
AHEXF,,EQT,20140113,
AHEXY,,ADR,20081013,
AHFCD,,EQT,19600101,
AHFD,,EQT,20111027,
AHFI,,EQT,19970620,
AHGHF,,EQT,20200225,
AHGIF,,EQT,20170127,
AHH,,EQT,20130508,
AHHPRA,,EQT,20190612,
AHICF,,EQT,20130528,
AHII,,EQT,20130503,
AHIX,,EQT,19841212,
AHKSF,,EQT,20140113,
AHKSY,,ADR,19920529,
AHLPRE,,EQT,20190807,
AHNMF,,EQT,20140113,
AHNR,,EQT,20120724,
AHODF,,EQT,20140113,
AHOTF,,EQT,20130412,
AHPI,,EQT,19920115,
AHROQ,,EQT,20041110,
AHT,,EQT,20030821,
AHTPRD,,EQT,20180319,
AHTPRI,,EQT,20171110,
AHWSF,,EQT,20190715,
AI,,EQT,19971223,
AIABF,,EQT,20140113,
AIAGF,,EQT,20140113,
AIAGY,,ADR,20140728,
AIAPF,,EQT,20190411,
AIBEF,,EQT,20140113,
AIBGY,,ADR,20181123,
AIBRF,,EQT,20140113,
AICAF,中国国航,EQT,20140113,
AIDA,爱大制药,EQT,20050914,
AIERF,,EQT,20140113,
AIFIF,,EQT,20170531,
AIFLY,,ADR,20021205,
AIFM,,EQT,20160705,
AIFS,,EQT,19750131,
AIG,美国国际,EQT,19721214,
AIGI,,EQT,20001213,
AIGPRA,,EQT,20190308,
AIH,医美国际,ADR,20191104,
AIHLF,,EQT,20080827,
AIHS,,EQT,20180316,
AIKI,,EQT,19721214,
AIKO,,EQT,20080609,
AILLL,,EQT,20171214,
AILQF,,EQT,19600101,
AIM,,EQT,19960712,
AIMC,,EQT,20061215,
AIMH,,EQT,19950725,
AIMT,,EQT,20150806,
AIN,,EQT,19870915,
AINC,,EQT,20141107,
AINPF,,EQT,20180727,
AINSF,,EQT,20140113,
AIOAF,,EQT,20140113,
AIOM,,EQT,20160614,
AIOSF,,EQT,20131008,
AIPRC,,EQT,20190306,
AIPUY,,ADR,20121004,
AIQUF,,EQT,20110206,
AIQUY,,ADR,19840815,
AIR,,EQT,19720424,
AIRG,,EQT,20160812,
AIRI,,EQT,20001005,
AIRO,,EQT,20000720,
AIRRF,,EQT,20110124,
AIRT,,EQT,19840423,
AIRYY,中国国航,ADR,20060629,
AISLF,,EQT,20020715,
AISSF,,EQT,20161108,
AIT,,EQT,19620702,
AITA,,EQT,20120627,
AITUF,,EQT,20131009,
AITVF,,EQT,20140113,
AITX,,EQT,20110518,
AIV,,EQT,19940722,
AIVAF,,EQT,19900328,
AIVN,,EQT,20010206,
AIXN,,EQT,20130719,
AIXXF,,EQT,20090729,
AIZ,,EQT,20040116,
AIZP,,EQT,20180308,
AJG,,EQT,19840620,
AJIA,,EQT,20180205,
AJINF,,EQT,19600101,
AJINY,,ADR,19790205,
AJISF,,EQT,20101007,
AJLGF,,EQT,20140113,
AJMPF,,EQT,20060918,
AJRD,,EQT,19620702,
AJX,,EQT,20150216,
AJXGF,,EQT,19600101,
AKAAF,,EQT,20140113,
AKABY,,ADR,20140716,
AKAM,阿克迈,EQT,19991026,
AKAOQ,,EQT,20140312,
AKASF,,EQT,20200603,
AKAVF,,EQT,20140113,
AKBA,,EQT,20140320,
AKBDY,,EQT,20100430,
AKBIF,,EQT,20140113,
AKBLF,,EQT,20140113,
AKBTY,,ADR,20050304,
AKCA,,EQT,20170714,
AKCPF,,EQT,20141031,
AKEJF,,EQT,20180202,
AKER,,EQT,20080526,
AKKVF,,EQT,20140113,
AKMNF,,EQT,20180308,
AKO.A,,ADR,19970407,
AKO.B,,ADR,19970407,
AKOM,,EQT,20170530,
AKR,,EQT,19930527,
AKRFF,,EQT,20140113,
AKRO,Akero Th,EQT,20190621,
AKRRF,,EQT,20130611,
AKRTF,,EQT,20141202,
AKRXQ,,EQT,19880408,
AKRYY,,ADR,20170117,
AKSJF,,EQT,20171102,
AKSY,,EQT,19960514,
AKTAF,,EQT,20140113,
AKTS,,EQT,20150528,
AKTX,,ADR,20130507,
AKUS,,EQT,20200626,
AKVA,,EQT,20120725,
AKZOF,,EQT,20140113,
AKZOY,,ADR,19860211,
AL,,EQT,20110419,
ALABF,,EQT,20200316,
ALAC,,EQT,20181121,
ALACF,,EQT,20130219,
ALACU,,EQT,20181024,
ALAN,,EQT,20110726,
ALARF,,EQT,20120710,
ALAXL,,EQT,20070717,
ALB,,EQT,19940222,
ALBBY,,ADR,20190930,
ALBHF,,EQT,20180720,
ALBKF,,EQT,20140113,
ALBKY,,ADR,20010109,
ALBO,,EQT,20070509,
ALBY,,EQT,19990316,
ALC,,EQT,20190409,
ALCCF,,EQT,20170224,
ALCN,,EQT,19970321,
ALCO,,EQT,19721214,
ALDA,,EQT,20110512,
ALDS,,EQT,20190718,
ALDVF,,EQT,20140113,
ALDX,,EQT,20140502,
ALE,,EQT,19620702,
ALEAF,,EQT,20161202,
ALEC,,EQT,20190207,
ALEDY,,ADR,20130917,
ALEX,,EQT,20120618,
ALFDF,,EQT,20190408,
ALFFF,,EQT,20140113,
ALFRY,,ADR,20180103,
ALFVF,,EQT,20140113,
ALFVY,,ADR,20081022,
ALG,,EQT,19930308,
ALGDF,,EQT,20160315,
ALGGF,,EQT,20100908,
ALGGY,,ADR,20130209,
ALGN,,EQT,20001120,
ALGT,,EQT,20061208,
ALGWF,,EQT,20170912,
ALGXY,,ADR,20110502,
ALIAF,,EQT,20101115,
ALID,,EQT,20190815,
ALIF,,EQT,19981217,
ALIM,,EQT,20100423,
ALINPRA,,EQT,20170224,
ALINPRB,,EQT,20180319,
ALINPRE,,EQT,20180118,
ALIOF,,EQT,20140113,
ALIZF,,EQT,20140113,
ALIZY,,ADR,20200113,
ALJJ,,EQT,19960328,
ALK,,EQT,19620702,
ALKEF,,EQT,20140113,
ALKHF,,EQT,20110206,
ALKM,,EQT,20140718,
ALKN,,EQT,19980720,
ALKS,,EQT,19910716,
ALL,好事达,EQT,19930603,
ALLE,,EQT,20131118,
ALLGF,,EQT,20171024,
ALLIF,,EQT,20161020,
ALLK,,EQT,20180719,
ALLM,,EQT,20140205,
ALLN,,EQT,19961101,
ALLO,,EQT,20181011,
ALLPRB,,EQT,20170918,
ALLPRG,,EQT,20180403,
ALLPRH,,EQT,20190802,
ALLPRI,,EQT,20191107,
ALLQ,,EQT,20030708,
ALLT,,EQT,20061116,
ALLVF,,EQT,20150519,
ALLWF,,EQT,20150413,
ALLXF,,EQT,20140113,
ALLY,,EQT,20140128,
ALMC,,EQT,19931028,
ALME,,EQT,20070824,
ALMFF,,EQT,19990721,
ALMMF,中铝公司,EQT,20140113,
ALMTF,,EQT,20130528,
ALNA,,EQT,20171102,
ALNPF,,EQT,20140113,
ALNPY,,ADR,20010109,
ALNY,,EQT,20040312,
ALO,,EQT,20111103,
ALOD,,EQT,20050617,
ALORY,,ADR,20160418,
ALOT,,EQT,19801114,
ALPC,,EQT,20190628,
ALPE,,EQT,19970716,
ALPIB,,EQT,20190628,
ALPKF,,EQT,20161213,
ALPMF,,EQT,20140113,
ALPMY,,ADR,20081208,
ALPN,,EQT,20150617,
ALPP,,EQT,20170113,
ALPRA,,EQT,20190301,
ALRGF,,EQT,20180125,
ALRHF,,EQT,20130111,
ALRM,,EQT,20150626,
ALRN,,EQT,20170629,
ALRS,,EQT,19910417,
ALRT,,EQT,19990106,
ALRY,,EQT,20030814,
ALSE,,EQT,19831025,
ALSI,,EQT,20010305,
ALSK,,EQT,19991118,
ALSMY,,ADR,20081016,
ALSN,,EQT,20120315,
ALSRF,,EQT,20161010,
ALSSF,,EQT,20040504,
ALST,,EQT,20050627,
ALSWF,,EQT,20140113,
ALT,,EQT,20050921,
ALTAF,,EQT,19600101,
ALTB,,EQT,20161116,
ALTCY,,ADR,20180416,
ALTD,,EQT,20170621,
ALTG,,EQT,20190425,
ALTM,,EQT,20170502,
ALTN,,EQT,20080130,
ALTPF,,EQT,20171129,
ALTR,,EQT,20171101,
ALTSF,,EQT,20140113,
ALTUF,,EQT,20200513,
ALTX,,EQT,19750515,
ALUS,,EQT,20200110,
ALUSU,,EQT,20191126,
ALV,,EQT,19970428,
ALVLF,,EQT,19600101,
ALVNF,,EQT,20200210,
ALVOF,,EQT,20131212,
ALVRQ,,EQT,20140116,
ALVVF,,EQT,20150908,
ALX,,EQT,19691007,
ALXEF,,EQT,20131004,
ALXN,,EQT,19960227,
ALXXF,,EQT,20131210,
ALYA,,EQT,19960926,
ALYE,,EQT,19951012,
ALYI,,EQT,20021213,
AM,,EQT,20170504,
AMADF,,EQT,20100812,
AMADY,,ADR,20110606,
AMAG,,EQT,19860611,
AMAL,,EQT,20180613,
AMANF,,EQT,20140610,
AMAR,,EQT,20120725,
AMAT,应用材料,EQT,19721214,
AMAZ,,EQT,20051107,
AMBA,,EQT,20121010,
AMBBY,,ADR,20170731,
AMBC,,EQT,20130501,
AMBD,,EQT,20040722,
AMBFF,,EQT,20170407,
AMBK,,EQT,20120725,
AMBO,安博教育,ADR,20140519,
AMBS,,EQT,20100911,
AMBUY,,EQT,20100630,
AMBZ,,EQT,19990604,
AMC,AMC院线,EQT,20131218,
AMCCF,,EQT,20190628,
AMCF,,EQT,20100126,
AMCI,,EQT,20190123,
AMCIU,,EQT,20181116,
AMCR,,EQT,20190611,
AMCT,,EQT,20160907,
AMCX,,EQT,20110618,
AMCY,,EQT,19971106,
AMCZF,,EQT,20140113,
AMD,AMD,EQT,19721214,
AMDDW,,EQT,20181120,
AMDHF,,EQT,20140113,
AMDLY,,ADR,19910507,
AMDUF,,EQT,20200324,
AMDWF,,EQT,20180531,
AME,,EQT,19970801,
AMED,,EQT,19940106,
AMEFF,,EQT,20180730,
AMEH,,EQT,19990409,
AMEN,,EQT,19970924,
AMEUF,,EQT,20131209,
AMFC,,EQT,19960401,
AMFL,,EQT,20010808,
AMFPF,,EQT,20010612,
AMG,,EQT,19971121,
AMGDF,,EQT,20190213,
AMGN,安进,EQT,19830617,
AMGXF,,EQT,20170703,
AMGY,美国金属,EQT,20100524,
AMH,,EQT,20130801,
AMHC,,EQT,20200110,
AMHCU,,EQT,20191121,
AMHD,,EQT,19981202,
AMHFF,,EQT,19600101,
AMHPF,,EQT,19600101,
AMHV,,EQT,20110207,
AMIGF,,EQT,20140113,
AMIGY,,ADR,20081017,
AMIH,,EQT,20100809,
AMIN,,EQT,20100813,
AMIQF,,EQT,20130222,
AMIUF,,EQT,20190509,
AMIVF,,EQT,20150505,
AMK,AssetMar,EQT,20190718,
AMKAF,,EQT,19880329,
AMKBF,,EQT,19880329,
AMKBY,,ADR,20120216,
AMKR,,EQT,19980429,
AMKYF,,EQT,20171213,
AMLC,,EQT,19950724,
AMLH,,EQT,20020131,
AMLLF,,EQT,20140113,
AMLM,,EQT,20061127,
AMLTF,,EQT,20140113,
AMLYY,,ADR,20040114,
AMLZF,,EQT,20040302,
AMMCF,,EQT,20140113,
AMMHF,,EQT,20130507,
AMMJ,,EQT,19960222,
AMMX,,EQT,19930223,
AMN,,EQT,20011030,
AMNB,美国国家,EQT,19931231,
AMNC,,EQT,20130904,
AMNCB,,EQT,20140425,
AMNE,,EQT,20010918,
AMNF,,EQT,19900427,
AMNL,,EQT,19750131,
AMNP,,EQT,20120725,
AMNTF,,EQT,20160901,
AMNZF,,EQT,20140113,
AMOCF,,EQT,20190508,
AMOO,,EQT,20150126,
AMOSF,,EQT,20200323,
AMOT,,EQT,19721226,
AMOV,,ADR,20010207,
AMOVF,,EQT,20140113,
