code,code_name,ipoDate
sh.600987,航民股份,2004-08-09
sh.600988,赤峰黄金,2004-04-14
sh.600989,宝丰能源,2019-05-16
sh.600990,四创电子,2004-05-10
sh.600992,贵绳股份,2004-05-14
sh.600993,马应龙,2004-05-17
sh.600995,文山电力,2004-06-15
sh.600996,贵广网络,2016-12-26
sh.600997,开滦股份,2004-06-02
sh.600998,九州通,2010-11-02
sh.600999,招商证券,2009-11-17
sh.601000,唐山港,2010-07-05
sh.601001,晋控煤业,2006-06-23
sh.601002,晋亿实业,2007-01-26
sh.601003,柳钢股份,2007-02-27
sh.601005,重庆钢铁,2007-02-28
sh.601006,大秦铁路,2006-08-01
